METAI;PAVADINIMAS;VF_SK;VNF_SK
2015;Alytaus kolegija;125;66
2015;Graičiūno aukštoji vadybos mokykla;1458;723
2015;Kauno kolegija;239;54
2015;Kauno miškų ir aplinkos inžinerijos kolegija;413;198
2015;Kauno technikos kolegija;668;419
2015;Klaipėdos valstybinė kolegija;24;40
2015;Kolpingo kolegija;242;111
2015;Lietuvos aukštoji jūreivystės mokykla;18;85
2015;Lietuvos verslo kolegija;153;118
2015;Marijampolės kolegija;228;172
2015;Panevėžio kolegija;140;468
2015;Socialinių mokslų kolegija;405;206
2015;Šiaulių valstybinė kolegija;3;26
2015;Šv. Ignaco Lojolos kolegija;25;131
2015;Tarptautinė teisės ir verslo aukštoji mokykla;24;89
2015;Utenos kolegija;202;235
2015;Vilniaus dizaino kolegija;1;24
2015;Vilniaus kolegija;36;49
2015;Vilniaus kooperacijos kolegija;1 713;606
2015;Vilniaus technologijų ir dizaino kolegija;55;34
2015;Vilniaus verslo kolegija;687;365
2016;Alytaus kolegija;131;92
2016;Kauno kolegija;1 428;625
2016;Kauno miškų ir aplinkos inžinerijos kolegija;226;35
2016;Kauno technikos kolegija;493;127
2016;Klaipėdos valstybinė kolegija;623;345
2016;Kolpingo kolegija;0;36
2016;Lietuvos aukštoji jūreivystės mokykla;208;53
2016;Lietuvos verslo kolegija;26;76
2016;Marijampolės kolegija;111;67
2016;Panevėžio kolegija;178;128
2016;Socialinių mokslų kolegija;134;531
2016;Šiaulių valstybinė kolegija;354;166
2016;Šiaurės Lietuvos kolegija;8;31
2016;Šv. Ignaco Lojolos kolegija;44;105
2016;Tarptautinė teisės ir verslo aukštoji mokykla;20;87
2016;Utenos kolegija;215;208
2016;V.A. Graičiūno aukštoji vadybos mokykla;1;15
2016;Vilniaus dizaino kolegija;35;54
2016;Vilniaus kolegija;1 742;660
2016;Vilniaus kooperacijos kolegija;15;36
2016;Vilniaus technologijų ir dizaino kolegija;616;234
2017;Alytaus kolegija;98;62
2017;Kauno kolegija;0;38
2017;Kauno miškų ir aplinkos inžinerijos kolegija;1425;589
2017;Kauno technikos kolegija;163;65
2017;Klaipėdos valstybinė kolegija;476;118
2017;Kolpingo kolegija;544;343
2017;Lietuvos aukštoji jūreivystės mokykla;0;52
2017;Lietuvos verslo kolegija;174;52
2017;Marijampolės kolegija;33;63
2017;Panevėžio kolegija;85;70
2017;Socialinių mokslų kolegija;174;98
2017;Šiaulių valstybinė kolegija;0;819
2017;Šiaurės Lietuvos kolegija;308;127
2017;Šv. Ignaco Lojolos kolegija;68;58
2017;Tarptautinė teisės ir verslo aukštoji mokykla;26;61
2017;Utenos kolegija;150;149
2017;V.A. Graičiūno aukštoji vadybos mokykla;30;49
2017;Vilniaus dizaino kolegija;1 855;647
2017;Vilniaus kolegija;16;26
2017;Vilniaus kooperacijos kolegija;607;202
2017;Vilniaus technologijų ir dizaino kolegija;32;80
2018;Alytaus kolegija;166;40
2018;Kauno kolegija;–;–
2018;Kauno miškų ir aplinkos inžinerijos kolegija;1124;843
2018;Kauno technikos kolegija;155;41
2018;Klaipėdos valstybinė kolegija;323;239
2018;Kolpingo kolegija;430;378
2018;Lietuvos aukštoji jūreivystės mokykla;0;60
2018;Lietuvos verslo kolegija;105;63
2018;Marijampolės kolegija;33;101
2018;Panevėžio kolegija;78;42
2018;Socialinių mokslų kolegija;175;194
2018;Šiaulių valstybinė kolegija;0;1 293
2018;Šiaurės Lietuvos kolegija;245;149
2018;Šv. Ignaco Lojolos kolegija;45;50
2018;Tarptautinė teisės ir verslo aukštoji mokykla;23;55
2018;Utenos kolegija;139;185
2018;V.A. Graičiūno aukštoji vadybos mokykla;31;65
2018;Vilniaus dizaino kolegija;1 471;959
2018;Vilniaus kolegija;–;–
2018;Vilniaus kooperacijos kolegija;432;202
2018;Vilniaus technologijų ir dizaino kolegija;12;56
